الاسم,التصنيف,الهاتف,العنوان,المنطقة,سنة التأسيس,الوصف,الخدمات (مفصولة بـ |),أوقات الدوام,البريد الإلكتروني,الموقع الإلكتروني,اسم المسؤول,عدد المستفيدين,خط العرض,خط الطول,الحالة (approved/pending)
جمعية البتراء للتربية الخاصة,ذوو احتياجات خاصة,0777379660,,وسط المدينة,1991,تقديم الخدمة المناسبة للمجتمع المحلي وتوعيتهم، تقديم الخدمة والمساعدة لذوي الإعاقات الحركية,تقديم الخدمة المناسبة للمجتمع المحلي وتوعيتهم|تقديم الخدمة والمساعدة لذوي الإعاقات الحركية,الأحد – الخميس: 8:00 – 15:00,Mohammad.ghanem1@gmail.com,,محمد النوافله,,30.1942,35.734,approved
جمعية الجنوب الخيرية للتربية الخاصة,رعاية أيتام,032133253,,وسط المدينة,1986,إيجاد مركز لرعاية ذوي الإعاقة، رعاية الأيتام، إقامة مشروع تأهيل مهني للمعاقين، مساعدة طلبة العلم، فتح عيادات طبية,إيجاد مركز لرعاية ذوي الإعاقة|رعاية الأيتام|إقامة مشروع تأهيل مهني للمعاقين|مساعدة طلبة العلم|فتح عيادات طبية,الأحد – الخميس: 8:00 – 15:00,ssmaan1996@yahoo.com,,مطر أبو رخيه,,30.1942,35.734,approved
جمعية الحسينية لرعاية وتأهيل المعوقين,ذوو احتياجات خاصة,0772167185,لواء الحسينية - وسط البلد - معان,الحسينية,,تشخيص وتعليم وتدريب ورعاية الأشخاص المعوقين، تقديم الدورات والعلاج الطبيعي,تشخيص وتعليم وتدريب ورعاية الأشخاص المعوقين|تقديم الدورات والعلاج الطبيعي,الأحد – الخميس: 8:00 – 15:00,,,,,30.175,35.71,approved
جمعية الشراه الجنوبية للتربية الخاصة,عامة,0772298930,قضاء المريغة - مقابل مسجد المريغة الجديد - معان,وسط المدينة,,,,الأحد – الخميس: 8:00 – 15:00,,,,,30.1942,35.734,approved
جمعية الجوهرة لإحياء السياحة التراثية,سياحة وتراث,,,وسط المدينة,2020,إنشاء المخيمات السياحية، إدارة المشاريع، المحافظة على التراث,إنشاء المخيمات السياحية|إدارة المشاريع|المحافظة على التراث,الأحد – الخميس: 8:00 – 15:00,,,محمد صالح عودة ابو تايه,,30.1942,35.734,approved
مركز القنطرة لتنمية الموارد البشرية,تنمية الشباب,0799293199,,وسط المدينة,2012,alqantara@alqantara.org,alqantara@alqantara.org|بناء قدرات الشباب وتعزيز مشاركتهم الاجتماعية والاقتصادية والسياسية|خلق فرص تطوع,الأحد – الخميس: 8:00 – 15:00,,,,,30.1942,35.734,approved
مركز شابات الطيبة/معان,تنمية الشباب,0772260013,,وسط المدينة,1997,صرح شبابي يعمل على رعاية الشباب وتطوير مهاراتهم | رقم الهاتف صادر عن وزارة الشباب,صرح شبابي يعمل على رعاية الشباب وتطوير مهاراتهم,الأحد – الخميس: 8:00 – 15:00,,,صباح أحمد خليفات,,30.1942,35.734,approved
مركز شابات البتراء,سياحة وتراث,0772567948,وادي موسى - وسط البلد,وادي موسى,,تنمية المجتمع المحلي، إقامة ندوات ومحاضرات تثقيفية، ورشات عمل، إحياء التراث الشعبي,تنمية المجتمع المحلي|إقامة ندوات ومحاضرات تثقيفية|ورشات عمل|إحياء التراث الشعبي,الأحد – الخميس: 8:00 – 15:00,,,,,30.3217,35.48,approved
نادي الشراهة الرياضي,تنمية الشباب,,,وسط المدينة,1971,,,الأحد – الخميس: 8:00 – 15:00,,,حسن فالح النعيمات,,30.1942,35.734,approved
مركز قمره ابداع للتنمية والتدريب,تنمية الشباب,,الإشارات الضوئية - معان,وسط المدينة,,,,الأحد – الخميس: 8:00 – 15:00,qumraabda@gmail.com,,,,30.1942,35.734,approved
ملتقى معان الثقافي,تنمية الشباب,,,وسط المدينة,,,نشر الوعي الثقافي والاجتماعي|الحفاظ على الحوار والإرث الثقافي والتاريخي لمعان|تنمية المواهب,الأحد – الخميس: 8:00 – 15:00,,,,,30.1942,35.734,approved
جمعية جوهرة الجفر لرعاية الأيتام,رعاية أيتام,0796022718,مقابل مسجد الجفر الكبير - الشارع العام - الجفر - معان,الجفر,2013,,,الأحد – الخميس: 8:00 – 15:00,Akjwherh2013@gmail.com,,عيد صالح عودة ابو تايه,,30.2833,36.15,approved
